Endereco Completo;Bairro;Ano de Construcao (Unidade);Area Terreno Total;Area Construida Adquirida;Area Adquirida (Unidades Somadas);Padrao Acabamento (Unidade);Fracao Ideal Adquirida;Tipo Construtivo Preponderante;Descrição Tipo Ocupacao (Unidade);Valor Base Calculo;Valor Imposto Cobrado (sumarizado);Zona Uso ITBI;Data Inclusao Transacao
AVE ALPHONSUS DE GUIMARAES 382 - APT 602 - PARAISO - 30270-020 - BELO HORIZONTE - MG;PARAISO;2016;585;126,45;126,45;P3;0,06727;AP;RESIDENCIAL;416020,5;12480,61;ZAP;15/12/2021 16:51
AVE ALTAMIRO AVELINO SOARES 170 - APT 201 - CASTELO - 31330-000 - BELO HORIZONTE - MG;CASTELO;2011;840;134,01;134,01;P4;0,04307;AP;RESIDENCIAL;480000;14400;ZAR2;09/12/2021 11:56
AVE ALTAMIRO AVELINO SOARES 170 - APT 503 - CASTELO - 31330-000 - BELO HORIZONTE - MG;CASTELO;2011;840;126,63;126,63;P4;0,0407;AP;RESIDENCIAL;440000;13200;ZAR2;01/12/2021 11:17
AVE ALTAMIRO AVELINO SOARES 939 - APT 301 - CASTELO - 31330-000 - BELO HORIZONTE - MG;CASTELO;2014;420;213,99;213,99;P4;0,177744;AP;RESIDENCIAL;1000000;30000;ZAR2;16/12/2021 14:10
AVE ALVARES CABRAL 1030 - SALA 406 - LOURDES - 30170-002 - BELO HORIZONTE - MG;LOURDES;1994;648;43,45;43,45;P3;0,01474;SL;NAO RESIDENCIAL;206887,18;6206,61;ZCBH;06/12/2021 11:15
AVE ALVARES CABRAL 1162 - APT 1504 - LOURDES - 30170-004 - BELO HORIZONTE - MG;LOURDES;2005;1105,5;218,06;872,24;P4;0,0296;AP;RESIDENCIAL;1600000;96000;ZCBH;27/12/2021 00:00
AVE ALVARES CABRAL 1181 - APT 1105 - LOURDES - 30170-004 - BELO HORIZONTE - MG;LOURDES;1998;1265,78;74,41;74,41;P5;0,007732;AP;RESIDENCIAL;233699,71;7010,99;ZCBH;21/12/2021 16:00
AVE ALVARES CABRAL 377 - APT 1801 - LOURDES - 30170-001 - BELO HORIZONTE - MG;LOURDES;1982;560;96,13;192,26;P3;0,01316;AP;RESIDENCIAL;390000;23400;ZHIP;20/12/2021 19:03
AVE ALVARES CABRAL 377 - GARAGE 49 - LOURDES - 30170-001 - BELO HORIZONTE - MG;LOURDES;1982;560;19,61;19,61;P3;0,002685;VR;RESIDENCIAL;69266,44;2077,99;ZHIP;20/12/2021 19:10
AVE ALVARES CABRAL 967 - APT 1007 - LOURDES - 30170-002 - BELO HORIZONTE - MG;LOURDES;1991;1587;73,11;73,11;P5;0,006775;AP;RESIDENCIAL;429886,8;12896,6;ZCBH;17/12/2021 13:31
AVE AMAZONAS 1044 - APT 308 - CENTRO - 30180-006 - BELO HORIZONTE - MG;CENTRO;1963;592;63,83;63,83;P3;0,006425;AP;RESIDENCIAL;240000;7200;ZHIP;16/12/2021 14:58
AVE AMAZONAS 1044 - APT 901 - CENTRO - 30180-006 - BELO HORIZONTE - MG;CENTRO;1963;592;61,92;61,92;P3;0,006233;AP;RESIDENCIAL;187057,42;5611,72;ZHIP;06/12/2021 11:27
AVE AMAZONAS 115 - SALA 713 - CENTRO - 30180-902 - BELO HORIZONTE - MG;CENTRO;1976;1080;39,8;79,6;P3;0,002061;SL;NAO RESIDENCIAL;65523,73;3931,42;ZHIP;03/12/2021 14:16
AVE AMAZONAS 2116 - BARRO PRETO - 30180-010 - BELO HORIZONTE - MG;BARRO PRETO;1940;435;377;377;P2;1;CC;NAO RESIDENCIAL;2749490;82484,7;ZCBH;03/12/2021 11:31
AVE ASSIS CHATEAUBRIAND 414 - APT 302 - FLORESTA - 30150-101 - BELO HORIZONTE - MG;FLORESTA;1968;1774;304,74;304,74;P3;0,019587;AP;RESIDENCIAL;1559578,82;46787,36;ZA;29/12/2021 00:00
AVE AUGUSTO DE LIMA 1219 - APT 1101 - BARRO PRETO - 30190-002 - BELO HORIZONTE - MG;BARRO PRETO;1964;523;114,1;114,1;P3;0,013796;AP;RESIDENCIAL;320000;9600;ZCBH;01/12/2021 16:40
AVE AUGUSTO DE LIMA 1259 - LOJA 7E - BARRO PRETO - 30190-002 - BELO HORIZONTE - MG;BARRO PRETO;1996;1200;47,51;47,51;P4;0,01005;LJ;NAO RESIDENCIAL;131499,13;3944,97;ZCBH;17/12/2021 15:30
AVE AUGUSTO DE LIMA 233 - BLOCO 1 SALA 1423 - CENTRO - 30190-000 - BELO HORIZONTE - MG;CENTRO;1967;4426;30,24;30,24;P3;0,00054;SL;NAO RESIDENCIAL;72459,34;2173,78;ZHIP;14/12/2021 17:38
AVE AUGUSTO DE LIMA 233 - BLOCO 3 APT 307 - CENTRO - 30190-000 - BELO HORIZONTE - MG;CENTRO;1967;4426;58,07;58,07;P2;0,001036;AP;RESIDENCIAL;160000;4800;ZHIP;15/12/2021 00:00
AVE AUGUSTO DE LIMA 233 - SALA 1206 - CENTRO - 30190-000 - BELO HORIZONTE - MG;CENTRO;1967;4426;30,24;30,24;P3;0,00054;SL;NAO RESIDENCIAL;72459,34;2173,78;ZHIP;07/12/2021 09:04
AVE AUGUSTO DE LIMA 345 - BLOCO B APT 2007 - CENTRO - 30190-000 - BELO HORIZONTE - MG;CENTRO;1983;543;47;47;P2;0,00644;AP;RESIDENCIAL;215000;6450;ZHIP;02/12/2021 00:00
AVE AUGUSTO DE LIMA 361 - APT 1603 - CENTRO - 30190-000 - BELO HORIZONTE - MG;CENTRO;1962;855;64,79;64,79;P2;0,00625;AP;RESIDENCIAL;221078,4;6632,35;ZHIP;20/12/2021 10:12
AVE AUGUSTO DE LIMA 444 - APT 504 - CENTRO - 30181-959 - BELO HORIZONTE - MG;CENTRO;1975;655,2;75,13;75,13;P3;0,0086;AP;RESIDENCIAL;347701,65;10431,04;ZHIP;07/12/2021 15:27
AVE BARAO HOMEM DE MELO 4520 - APT 402 - ESTORIL - 30494-270 - BELO HORIZONTE - MG;ESTORIL;2006;1072;62,2;62,2;P4;0,008382;AP;RESIDENCIAL;246548,62;7396,45;ZAR1;01/12/2021 15:35
AVE BARAO HOMEM DE MELO 4520 - APT 408 - ESTORIL - 30494-270 - BELO HORIZONTE - MG;ESTORIL;2006;1072;61,24;61,24;P4;0,008252;AP;RESIDENCIAL;245000;7350;ZAR1;02/12/2021 00:00
AVE BARBACENA 600 - SALA 405 - BARRO PRETO - 30190-134 - BELO HORIZONTE - MG;BARRO PRETO;2019;4402,46;81,4;81,4;P5;0,00311;SL;NAO RESIDENCIAL;663779,34;19913,38;ZCBH;10/12/2021 11:12
AVE BARBACENA 600 - SALA 711 - BARRO PRETO - 30190-134 - BELO HORIZONTE - MG;BARRO PRETO;2019;4402,46;75,9;75,9;P5;0,0029;SL;NAO RESIDENCIAL;618929,38;18567,88;ZCBH;14/12/2021 11:29
AVE BERNARDO DE VASCONCELOS 2350 - BLOCO D APT 505 - IPIRANGA - 31160-440 - BELO HORIZONTE - MG;IPIRANGA;1993;29156,16;166,32;665,28;P4;0,0014;AP;RESIDENCIAL;545000;32700;ZAP;28/12/2021 11:03
AVE BERNARDO DE VASCONCELOS 2350 - BLOCO D APT 603 - IPIRANGA - 31160-440 - BELO HORIZONTE - MG;IPIRANGA;1993;29156,16;163,95;163,95;P4;0,00138;AP;RESIDENCIAL;460000;13800;ZAP;06/12/2021 16:29
AVE BERNARDO DE VASCONCELOS 2500 - BLOCO B APT 206 - IPIRANGA - 31160-440 - BELO HORIZONTE - MG;IPIRANGA;1993;29156,16;125,93;125,93;P4;0,00106;AP;RESIDENCIAL;365000;10950;ZAP;16/12/2021 16:12
AVE BERNARDO MONTEIRO 164 - APT 202 - FLORESTA - 30150-280 - BELO HORIZONTE - MG;FLORESTA;1995;360;118,08;118,08;P3;0,14302;AP;RESIDENCIAL;446637,6;13399,12;ZA;21/12/2021 09:09
AVE BIAS FORTES 1619 - APT 803 - BARRO PRETO - 30170-019 - BELO HORIZONTE - MG;BARRO PRETO;1957;594;64,9;64,9;P3;0,01475;AP;RESIDENCIAL;178000;5340;ZCBH;30/12/2021 00:00
AVE BRASIL 30 - APT 1502 - SANTA EFIGENIA - 30140-001 - BELO HORIZONTE - MG;SANTA EFIGENIA;1996;496,5;63,25;63,25;P3;0,020463;AP;RESIDENCIAL;242057,75;7261,73;ZCBH;20/12/2021 00:00
AVE BRASIL 30 - GARAGE 3 - SANTA EFIGENIA - 30140-001 - BELO HORIZONTE - MG;SANTA EFIGENIA;1996;496,5;19,84;19,84;P3;0,00641;VR;RESIDENCIAL;75717,38;2271,52;ZCBH;20/12/2021 00:00
AVE CARANDAI 353 - APT 901 - FUNCIONARIOS - 30130-064 - BELO HORIZONTE - MG;FUNCIONARIOS;2005;486;209,26;209,26;P4;0,07282;AP;RESIDENCIAL;1290000;38700;ZCBH;02/12/2021 09:43
AVE CONSUL ANTONIO CADAR 310 - SAO BENTO - 30360-000 - BELO HORIZONTE - MG;SAO BENTO;1977;450;458,98;458,98;P3;1;CA;RESIDENCIAL;1850000;55500;ZAR1;23/12/2021 00:00
AVE CORONEL JOSE BENJAMIM 83 - APT 304 - PADRE EUSTAQUIO - 30720-430 - BELO HORIZONTE - MG;PADRE EUSTAQUIO;1982;1008;96;192;P3;0,03412;AP;RESIDENCIAL;288519,84;17311,18;ZA;03/12/2021 11:47
AVE COSTA DO MARFIM 135 - APT 203 - HAVAI - 30575-000 - BELO HORIZONTE - MG;HAVAI;1982;29700;84;336;P3;0,003484;AP;RESIDENCIAL;220000;13200;ZAR2;28/12/2021 11:20
AVE CRISTIANO MACHADO 1440 - APT 202 - SAGRADA FAMILIA - 31035-512 - BELO HORIZONTE - MG;SAGRADA FAMILIA;1978;14897;89,58;89,58;P3;0,003788;AP;RESIDENCIAL;319999,9;9599,99;ZAP;22/12/2021 00:00
AVE CRISTIANO MACHADO 1587 - APT 506 - SILVEIRA - 31140-505 - BELO HORIZONTE - MG;SILVEIRA;2003;720;91,77;91,77;P4;0,017402;AP;RESIDENCIAL;229990,72;6899,72;ZAP;06/12/2021 16:06
AVE CRISTIANO MACHADO 1868 - APT 201 - CIDADE NOVA - 31170-024 - BELO HORIZONTE - MG;CIDADE NOVA;1979;600;97,19;97,19;P3;0,0556;AP;RESIDENCIAL;280000;8400;ZA;09/12/2021 12:12
AVE CRISTIANO MACHADO 3435 - APT 1313 - IPIRANGA - 31160-413 - BELO HORIZONTE - MG;IPIRANGA;2014;4921,5;38,64;38,64;P3;0,00384;AC;NAO RESIDENCIAL;171903;5157,09;ZAP;02/12/2021 00:00
AVE DAS CASTANHOLAS 244 - APT 801 BLOCO 2 - CONJUNTO CALIFORNIA I - 30850-760 - BELO HORIZONTE - MG;CONJUNTO CALIFORNIA I;2016;12051,16;72,8;72,8;P4;0,00222;AP;RESIDENCIAL;245000;7350;ZAP;02/12/2021 00:00
AVE DA SINFONIA 425 - APT 1203 BLOCO TORRE 1 - SANTA AMELIA - 31560-420 - BELO HORIZONTE - MG;SANTA AMELIA;2016;21054,24;64,48;64,48;P4;0,00217;AP;RESIDENCIAL;250000;7500;ZAR2;07/12/2021 14:12
AVE DA SINFONIA 425 - APT 1408 BLOCO TORRE 4 - SANTA AMELIA - 31560-420 - BELO HORIZONTE - MG;SANTA AMELIA;2019;21054,24;78,39;313,56;P4;0,002638;AP;RESIDENCIAL;247531,57;14851,88;ZAR2;28/12/2021 14:20
AVE DA SINFONIA 425 - APT 603 BLOCO TORRE02 - SANTA AMELIA - 31560-420 - BELO HORIZONTE - MG;SANTA AMELIA;2016;21054,24;64,48;64,48;P4;0,00217;AP;RESIDENCIAL;260000;7800;ZAR2;02/12/2021 00:00
AVE DEL REY 111 - SALA 410 BLOCO A - CAICARAS - 30775-240 - BELO HORIZONTE - MG;CAICARAS;2016;13809,86;86,48;86,48;P3;0,003214;SL;NAO RESIDENCIAL;288747,77;8662,43;ZE;10/12/2021 12:02
AVE DEL REY 111 - SALA 411 BLOCO A - CAICARAS - 30775-240 - BELO HORIZONTE - MG;CAICARAS;2016;13809,86;90,49;90,49;P3;0,003363;SL;NAO RESIDENCIAL;302136,75;9064,1;ZE;10/12/2021 12:12
AVE DEPUTADO CRISTOVAM CHIARADIA 200 - APT 601 BLOCO 2 - BURITIS - 30575-815 - BELO HORIZONTE - MG;BURITIS;2010;8643,8;102,35;409,4;P4;0,006949;AP;RESIDENCIAL;495000;29700;ZAR2;27/12/2021 00:00
AVE DEPUTADO CRISTOVAM CHIARADIA 351 - BLOCO 1 APT 204 - BURITIS - 30575-815 - BELO HORIZONTE - MG;BURITIS;2003;3344,53;85,58;85,58;P4;0,01545;AP;RESIDENCIAL;375000;11250;ZAR2;03/12/2021 17:36
AVE DEPUTADO CRISTOVAM CHIARADIA 395 - APT 401 BLOCO 2 - BURITIS - 30575-815 - BELO HORIZONTE - MG;BURITIS;2012;6660;119,38;477,52;P4;0,008291;AP;RESIDENCIAL;560000;33600;ZAR2;27/12/2021 00:00
AVE DO CONTORNO 1298 - APT 1103 - FLORESTA - 30110-008 - BELO HORIZONTE - MG;FLORESTA;1993;1500;105,99;211,98;P3;0,01414;AP;RESIDENCIAL;395000;23700;ZA;30/12/2021 10:59
AVE DO CONTORNO 2250 - APT 902 - FLORESTA - 30110-012 - BELO HORIZONTE - MG;FLORESTA;1984;1874,57;73,79;73,79;P3;0,008458;AP;RESIDENCIAL;338961,74;10168,85;ZA;17/12/2021 11:20
AVE DO CONTORNO 3800 - GARAGE 199 PAVMTO 2º PAVIMENTO G IV - SANTA EFIGENIA - 30110-022 - BELO HORIZONTE - MG;SANTA EFIGENIA;2016;2018,15;18,66;18,66;P5;0,001538;VC;NAO RESIDENCIAL;49999,98;1499,99;ZCBH;06/12/2021 09:20
AVE DO CONTORNO 3800 - GARAGE 200 PAVMTO 2º PAVIMENTO G IV - SANTA EFIGENIA - 30110-022 - BELO HORIZONTE - MG;SANTA EFIGENIA;2016;2018,15;18,66;18,66;P5;0,001538;VC;NAO RESIDENCIAL;49999,98;1499,99;ZCBH;08/12/2021 12:52
AVE DO CONTORNO 3800 - GARAGE 201 PAVMTO 2º PAVIMENTO G IV - SANTA EFIGENIA - 30110-022 - BELO HORIZONTE - MG;SANTA EFIGENIA;2016;2018,15;18,66;18,66;P5;0,001538;VC;NAO RESIDENCIAL;49999,98;1499,99;ZCBH;06/12/2021 13:50
AVE DO CONTORNO 3800 - GARAGE 226 PAVMTO 2º PAVIMENTO G IV - SANTA EFIGENIA - 30110-022 - BELO HORIZONTE - MG;SANTA EFIGENIA;2016;2018,15;11,19;11,19;P5;0,000922;VC;NAO RESIDENCIAL;30000;900;ZCBH;06/12/2021 13:54
AVE DO CONTORNO 3800 - GARAGE 227 PAVMTO 2º PAVIMENTO G IV - SANTA EFIGENIA - 30110-022 - BELO HORIZONTE - MG;SANTA EFIGENIA;2016;2018,15;11,19;11,19;P5;0,000922;VC;NAO RESIDENCIAL;30000;900;ZCBH;06/12/2021 13:55
AVE DO CONTORNO 3800 - GARAGE 228 PAVMTO 2º PAVIMENTO G IV - SANTA EFIGENIA - 30110-022 - BELO HORIZONTE - MG;SANTA EFIGENIA;2016;2018,15;11,19;11,19;P5;0,000922;VC;NAO RESIDENCIAL;30000;900;ZCBH;06/12/2021 13:57
AVE DO CONTORNO 3800 - GARAGE 91 PAVMTO 1º SUBSOLO G II - SANTA EFIGENIA - 30110-022 - BELO HORIZONTE - MG;SANTA EFIGENIA;2016;2018,15;18,66;18,66;P5;0,001538;VC;NAO RESIDENCIAL;60000;1800;ZCBH;01/12/2021 17:40
AVE DO CONTORNO 3800 - GARAGE 92 PAVMTO 1º SUBSOLO G II - SANTA EFIGENIA - 30110-022 - BELO HORIZONTE - MG;SANTA EFIGENIA;2016;2018,15;18,66;18,66;P5;0,001538;VC;NAO RESIDENCIAL;60000;1800;ZCBH;01/12/2021 17:43
AVE DO CONTORNO 3800 - GARAGE 93 PAVMTO 1º SUBSOLO G II - SANTA EFIGENIA - 30110-022 - BELO HORIZONTE - MG;SANTA EFIGENIA;2016;2018,15;18,66;18,66;P5;0,001538;VC;NAO RESIDENCIAL;60000;1800;ZCBH;01/12/2021 17:44
AVE DO CONTORNO 3800 - SALA 1301 - SANTA EFIGENIA - 30110-022 - BELO HORIZONTE - MG;SANTA EFIGENIA;2016;2018,15;202,88;202,88;P5;0,016724;SL;NAO RESIDENCIAL;1440000;43200;ZCBH;01/12/2021 17:37
AVE DO CONTORNO 4480 - GARAGE 22 - FUNCIONARIOS - 30110-028 - BELO HORIZONTE - MG;FUNCIONARIOS;1994;1694;11,12;44,48;P4;0,001194;VC;NAO RESIDENCIAL;43951,8;2637,1;ZCBH;28/12/2021 12:22
AVE DO CONTORNO 4480 - SALA 1506 - FUNCIONARIOS - 30110-028 - BELO HORIZONTE - MG;FUNCIONARIOS;1994;1694;48,13;192,52;P4;0,005167;SL;NAO RESIDENCIAL;214368,1;12862,08;ZCBH;27/12/2021 10:18
AVE DO CONTORNO 7069 - SALA 713 - SANTO ANTONIO - 30110-043 - BELO HORIZONTE - MG;SANTO ANTONIO;2000;2010,87;41,87;41,87;P4;0,00421;SL;NAO RESIDENCIAL;231699,12;6950,97;ZA;14/12/2021 16:27
AVE DO CONTORNO 7315 - APT 413 - SANTO ANTONIO - 30110-047 - BELO HORIZONTE - MG;SANTO ANTONIO;2001;4158,63;49,67;49,67;P5;0,001766;AP;RESIDENCIAL;203785,8;6113,57;ZA;06/12/2021 13:36
AVE DO CONTORNO 7315 - APT 415 - SANTO ANTONIO - 30110-047 - BELO HORIZONTE - MG;SANTO ANTONIO;2001;4158,63;49,67;49,67;P5;0,001766;AP;RESIDENCIAL;203785,8;6113,57;ZA;06/12/2021 13:56
AVE DOM JOAO VI 761 - CINQUENTENARIO - 30570-066 - BELO HORIZONTE - MG;CINQUENTENARIO;1993;1632;51;51;P2;0,035172;BA;RESIDENCIAL;80000;2400;ZAR2;03/12/2021 09:44
AVE DOM JOAO VI 761 - CINQUENTENARIO - 30570-066 - BELO HORIZONTE - MG;CINQUENTENARIO;1993;1632;1399;1399;P2;0,964828;GP;NAO RESIDENCIAL;2420000;72600;ZAR2;03/12/2021 09:43
AVE DOM JOAO VI 770 - BLOCO 4B APT 403 - CINQUENTENARIO - 30570-066 - BELO HORIZONTE - MG;CINQUENTENARIO;1997;9818;90,42;90,42;P3;0,00552;AP;RESIDENCIAL;350000;10500;ZAR2;23/12/2021 16:37
AVE DOM JOAO VI 920 - BLOCO II APT 401 - CINQUENTENARIO - 30570-066 - BELO HORIZONTE - MG;CINQUENTENARIO;1998;1500;51,51;51,51;P3;0,0208;AP;RESIDENCIAL;246000;7380;ZAR2;15/12/2021 00:00
AVE DOM JOSE GASPAR 459 - APT 202 - CORACAO EUCARISTICO - 30535-610 - BELO HORIZONTE - MG;CORACAO EUCARISTICO;1982;1000;149;149;P3;0,046599;AP;RESIDENCIAL;520000;15600;ZA;21/12/2021 12:51
AVE DOS BANDEIRANTES 1587 - APT 302 - ANCHIETA - 30310-403 - BELO HORIZONTE - MG;ANCHIETA;1981;805;243;243;P4;0,0988;AP;RESIDENCIAL;950000;28500;ZA;20/12/2021 15:00
AVE DOS BANDEIRANTES 1975 - APT 1401 - SERRA - 30210-523 - BELO HORIZONTE - MG;SERRA;1976;6000;474,38;474,38;P4;0,03107;AP;RESIDENCIAL;3844000;115320;ZA;06/12/2021 16:00
AVE DOS ENGENHEIROS 407 - BLOCO A APT 204 - MANACAS - 30840-563 - BELO HORIZONTE - MG;MANACAS;1995;1800;47,66;47,66;P3;0,0156;AP;RESIDENCIAL;200000;6000;ZAP;03/12/2021 14:05
AVE FLAVIO DOS SANTOS 250 - APT 604 - FLORESTA - 31015-150 - BELO HORIZONTE - MG;FLORESTA;2018;731,25;123,03;123,03;P3;0,05427;AP;RESIDENCIAL;535180,5;16055,41;ZA;13/12/2021 16:56
AVE FLEMING 1159 - BLOCO 2 APT 403 - BANDEIRANTES - 31310-490 - BELO HORIZONTE - MG;BANDEIRANTES;2001;2734,37;43,85;175,4;P2;0,01037;AP;RESIDENCIAL;183277,62;10996,64;ZP2;27/12/2021 00:00
AVE FRANCISCO SA 1040 - GARAGE 35 - GUTIERREZ - 30441-018 - BELO HORIZONTE - MG;GUTIERREZ;2013;1008;8,38;8,38;P3;0,00334;VR;RESIDENCIAL;28156,8;844,7;ZA;23/12/2021 16:25
AVE FRANCISCO SA 716 - PRADO - 30411-174 - BELO HORIZONTE - MG;PRADO;1971;480;682,81;682,81;P3;1;LJ;NAO RESIDENCIAL;3734500;112035;ZA;18/12/2021 09:07
AVE FRANCISCO SALES 1527 - APT 103 - SANTA EFIGENIA - 30150-225 - BELO HORIZONTE - MG;SANTA EFIGENIA;1963;437;119,55;478,2;P3;0,102879;AP;RESIDENCIAL;435000;26100;ZCBH;27/12/2021 14:10
AVE FRANCISCO SALES 40 - APT 107 - FLORESTA - 30150-220 - BELO HORIZONTE - MG;FLORESTA;1974;1000;70,09;70,09;P3;0,006874;AP;RESIDENCIAL;265157,54;7954,72;ZA;09/12/2021 11:49
AVE GUARAPARI 511 - BLOCO E APT 22 - SANTA AMELIA - 31560-300 - BELO HORIZONTE - MG;SANTA AMELIA;1991;6460;69;69;P3;0,0125;AP;RESIDENCIAL;300000;9000;ZAP;29/12/2021 00:00
AVE HERACLITO MOURAO DE MIRANDA 150 - CONJUNTO CELSO MACHADO - 30840-032 - BELO HORIZONTE - MG;CONJUNTO CELSO MACHADO;1976;220;74;74;P2;1;CA;RESIDENCIAL;430000;12900;ZAR2;15/12/2021 00:00
AVE HERACLITO MOURAO DE MIRANDA 295 - APT 103 BLOCO 4 - SERRANO - 30882-013 - BELO HORIZONTE - MG;SERRANO;2010;4622,81;49,57;49,57;P3;0,009931;AP;RESIDENCIAL;190000;5700;ZAR2;17/12/2021 15:09
AVE HERACLITO MOURAO DE MIRANDA 295 - APT 502 BLOCO 2 - SERRANO - 30882-013 - BELO HORIZONTE - MG;SERRANO;2010;4622,81;76,7;76,7;P3;0,015367;AP;RESIDENCIAL;285000;8550;ZAR2;01/12/2021 11:28
