Endereco Completo;Bairro;Ano de Construcao (Unidade);Area Terreno Total;Area Construida Adquirida;Area Adquirida (Unidades Somadas);Padrao Acabamento (Unidade);Fracao Ideal Adquirida;Tipo Construtivo Preponderante;Descrição Tipo Ocupacao (Unidade);Valor Base Calculo;Valor Imposto Cobrado (sumarizado);Zona Uso ITBI;Data Inclusao Transacao
RUA DESEMBARGADOR JOSE SATYRO 59 - APT 101 - CASTELO - 30840-490 - BELO HORIZONTE - MG;CASTELO;2013;420;151,74;151,74;P3;0,127416;AP;RESIDENCIAL;600000;18000;ZAR2;01/09/2021
RUA DOIS MIL DUZENTOS E VINTE E SETE 430 - APT 102 BLOCO 3 - PALMEIRAS - 30575-642 - BELO HORIZONTE - MG;PALMEIRAS;2020;25644,42;57,68;57,68;P4;0,002078;AP;RESIDENCIAL;235000;7050;ZAR2;01/09/2021
RUA DOM PRUDENCIO GOMES 394 - APT 401 - CORACAO EUCARISTICO - 30535-580 - BELO HORIZONTE - MG;CORACAO EUCARISTICO;2020;480;82,13;82,13;P3;0,088072;AP;RESIDENCIAL;415000;12450;ZA;01/09/2021
RUA DOM PRUDENCIO GOMES 394 - GARAGE 03 - CORACAO EUCARISTICO - 30535-580 - BELO HORIZONTE - MG;CORACAO EUCARISTICO;2020;480;7,18;7,18;P3;0,007698;VR;RESIDENCIAL;29150,8;874,52;ZA;01/09/2021
RUA DOS AIMORES 2085 - APT 2301 - LOURDES - 30140-074 - BELO HORIZONTE - MG;LOURDES;2014;1800;150,22;150,22;P4;0,01094;AP;RESIDENCIAL;1000000;30000;ZCBH;01/09/2021
RUA DOS GOITACAZES 211 - APT 902 - CENTRO - 30190-050 - BELO HORIZONTE - MG;CENTRO;1962;565;125,51;125,51;P2;0,021147;AP;RESIDENCIAL;293316,87;8799,5;ZHIP;01/09/2021
RUA DULCE MARIA 10 - APT 504 - IPIRANGA - 31160-250 - BELO HORIZONTE - MG;IPIRANGA;1944;937,87;89,3;89,3;P3;0,01933;AP;RESIDENCIAL;149629,2;4488,87;ZAP;01/09/2021
RUA FLOR DE JEQUITIBA 85 - APT 401 - UNIAO - 31160-280 - BELO HORIZONTE - MG;UNIAO;2010;960;122,67;122,67;P3;0,04221;AP;RESIDENCIAL;515185,16;15455,55;ZAP;01/09/2021
RUA FRANCISCO AUGUSTO ROCHA 101 - APT 102 BLOCO 1 - PLANALTO - 31720-260 - BELO HORIZONTE - MG;PLANALTO;2016;15838,43;90,96;90,96;P4;0,002457;AP;RESIDENCIAL;353000;10590;ZAP;01/09/2021
RUA FRANCISCO AUGUSTO ROCHA 101 - APT 1404 BLOCO 4 - PLANALTO - 31720-260 - BELO HORIZONTE - MG;PLANALTO;2016;15838,43;69,82;69,82;P4;0,001886;AP;RESIDENCIAL;274912,86;8247,38;ZAP;01/09/2021
RUA FRANCISCO AUGUSTO ROCHA 101 - APT 204 BLOCO 4 - PLANALTO - 31720-260 - BELO HORIZONTE - MG;PLANALTO;2016;15838,43;76,82;76,82;P4;0,002075;AP;RESIDENCIAL;271577,91;8147,33;ZAP;01/09/2021
RUA FRANCISCO AUGUSTO ROCHA 101 - APT 207 BLOCO 4 - PLANALTO - 31720-260 - BELO HORIZONTE - MG;PLANALTO;2016;15838,43;93,48;93,48;P4;0,002525;AP;RESIDENCIAL;341000;10230;ZAP;01/09/2021
RUA FRANCISCO AUGUSTO ROCHA 101 - APT 807 BLOCO 4 - PLANALTO - 31720-260 - BELO HORIZONTE - MG;PLANALTO;2016;15838,43;101,74;101,74;P4;0,002748;AP;RESIDENCIAL;359676,34;10790,29;ZAP;01/09/2021
RUA FRANCISCO BICALHO 908 - APT 303 - PADRE EUSTAQUIO - 30720-340 - BELO HORIZONTE - MG;PADRE EUSTAQUIO;2010;500;210,16;210,16;P3;0,1536;AP;RESIDENCIAL;1170170,88;35105,12;ZA;01/09/2021
RUA GENERAL DIONISIO CERQUEIRA 347 - APT 1001 - GUTIERREZ - 30441-063 - BELO HORIZONTE - MG;GUTIERREZ;1997;960;169,29;169,29;P4;0,0459;AP;RESIDENCIAL;722529,72;21675,89;ZA;01/09/2021
RUA GENTIL PORTUGAL DO BRASIL 55 - APT 304 BLOCO 3 - CAMARGOS - 30520-540 - BELO HORIZONTE - MG;CAMARGOS;2013;59833,1;48,57;48,57;P3;0,000739;AP;RESIDENCIAL;168000;5040;ZAR2;01/09/2021
RUA GERALDA CIRINO FLOR DE MAIO 310 - SANTA MONICA - 31565-300 - BELO HORIZONTE - MG;SANTA MONICA;2006;180;97;97;P2;1;CA;RESIDENCIAL;310000;18600;ZAP;01/09/2021
RUA GUILHERME LEITE 91 - APT 102 - CAICARAS - 31230-100 - BELO HORIZONTE - MG;CAICARAS;1988;360;80,77;80,77;P3;0,127208;AP;RESIDENCIAL;199566,52;5986,99;ZAP;01/09/2021
RUA HENRIQUE FURTADO PORTUGAL 180 - BLOCO 1 APT 102 - BURITIS - 30493-175 - BELO HORIZONTE - MG;BURITIS;2000;1900;71,25;71,25;P3;0,01798;AP;RESIDENCIAL;259929,87;7797,89;ZAR2;01/09/2021
RUA HILDEMAR FALCAO 439 - LINDEIA - 30690-230 - BELO HORIZONTE - MG;LINDEIA;2016;360;476,38;476,38;P2;1;CA;RESIDENCIAL;700000;42000;ZAP;01/09/2021
RUA ITAUNENSE 731 - APT 101 BLOCO 5 - CAMARGOS - 30520-420 - BELO HORIZONTE - MG;CAMARGOS;2009;8713,68;48,92;48,92;P3;0,006898;AP;RESIDENCIAL;175679,6;5270,38;ZAR2;01/09/2021
RUA JOAO DE PAULA 445 - APT 702 - SAGRADA FAMILIA - 31035-340 - BELO HORIZONTE - MG;SAGRADA FAMILIA;2012;1200;154,88;154,88;P4;0,0298;AP;RESIDENCIAL;550000;16500;ZAP;01/09/2021
RUA JOAO GUALBERTO FILHO 645 - APT 101 - SAGRADA FAMILIA - 31030-410 - BELO HORIZONTE - MG;SAGRADA FAMILIA;1986;400;89,37;89,37;P3;0,125;AP;RESIDENCIAL;230000;6900;ZAP;01/09/2021
RUA JOAQUIM GONCALVES DA SILVA 14 - BLOCO 15 APT 304 - CANDELARIA - 31535-055 - BELO HORIZONTE - MG;CANDELARIA;1999;10348;44,82;44,82;P1;0,002434;AP;RESIDENCIAL;130000;3900;ZAP;01/09/2021
RUA JOAQUIM GONCALVES DA SILVA 285 - BLOCO IV APT 203 - RIO BRANCO - 31535-055 - BELO HORIZONTE - MG;RIO BRANCO;1997;10134,31;58,65;58,65;P3;0,004757;AP;RESIDENCIAL;180000;5400;ZAP;01/09/2021
RUA JOSE BRANDAO 94 - APT 202 - BARREIRO - 30640-020 - BELO HORIZONTE - MG;BARREIRO;1992;1697,5;265,22;265,22;P4;0,031986;AP;RESIDENCIAL;850000;25500;ZCBA;01/09/2021
RUA LARANJAL 266 - APT 402 - ANCHIETA - 30310-700 - BELO HORIZONTE - MG;ANCHIETA;2021;300;154,93;154,93;P3;0,209889;AP;RESIDENCIAL;803000;24090;ZA;01/09/2021
RUA MANOEL VENANCIO MARTINS 314 - APT 301 - PALMARES - 31155-700 - BELO HORIZONTE - MG;PALMARES;2012;360;117,73;117,73;P3;0,10117;AP;RESIDENCIAL;424000;12720;ZAP;01/09/2021
RUA MARECHAL FOCH 41 - SALA 302 - GRAJAU - 30431-189 - BELO HORIZONTE - MG;GRAJAU;1998;720;88,04;88,04;P4;0,019863;SL;NAO RESIDENCIAL;229999,82;6899,99;ZAP;01/09/2021
RUA MAURA 253 - APT 301 - IPIRANGA - 31160-260 - BELO HORIZONTE - MG;IPIRANGA;2013;1093;153,61;153,61;P3;0,035765;AP;RESIDENCIAL;450000;13500;ZAP;01/09/2021
RUA MERCIA SIQUEIRA PRATES 130 - APT 203 - SANTA AMELIA - 31550-370 - BELO HORIZONTE - MG;SANTA AMELIA;2000;360;112,98;112,98;P3;0,186214;AP;RESIDENCIAL;450000;13500;ZAP;01/09/2021
RUA MONTE CASSINO 235 - APT 5 - SANTA BRANCA - 31565-010 - BELO HORIZONTE - MG;SANTA BRANCA;1982;1879;79;79;P3;0,08335;AP;RESIDENCIAL;375864;11275,92;ZAP;01/09/2021
RUA MOURA COSTA 13 - PLANALTO - 31720-110 - BELO HORIZONTE - MG;PLANALTO;2001;360;364;364;P3;1;CC;NAO RESIDENCIAL;869292;26078,76;ZAP;01/09/2021
RUA MOURA COSTA 226 - CASA 03 - PLANALTO - 31720-110 - BELO HORIZONTE - MG;PLANALTO;1983;360;60;60;P3;0,166666;AP;RESIDENCIAL;229000;6870;ZAP;01/09/2021
RUA OSORIO DUQUE ESTRADA 560 - APT 203 BLOCO 9 - PLANALTO - 31730-512 - BELO HORIZONTE - MG;PLANALTO;2015;13683,64;49,63;49,63;P3;0,003433;AP;RESIDENCIAL;190000;5700;ZAP;01/09/2021
RUA OURO PRETO 1604 - GARAGE 30 - SANTO AGOSTINHO - 30170-048 - BELO HORIZONTE - MG;SANTO AGOSTINHO;2018;1600;18,84;18,84;P5;0,001885;VC;NAO RESIDENCIAL;70000;2100;ZCBH;01/09/2021
RUA PADRE ARGEMIRO MOREIRA 11300 - APT 504 BLOCO 10 - MARIA TERESA - 31998-250 - BELO HORIZONTE - MG;MARIA TERESA;2021;14888,17;49,71;49,71;P3;0,003846;AP;RESIDENCIAL;148000;4440;ZP1;01/09/2021
RUA PADRE ARGEMIRO MOREIRA 11667 - APT 301 BLOCO 3 - MARIA TERESA - 31998-250 - BELO HORIZONTE - MG;MARIA TERESA;2021;18915,6;63,83;63,83;P3;0,004395;AP;RESIDENCIAL;205000;6150;ZAR2;01/09/2021
RUA PADRE ARGEMIRO MOREIRA 11667 - APT 404 BLOCO 12 - MARIA TERESA - 31998-250 - BELO HORIZONTE - MG;MARIA TERESA;2021;18915,6;63,83;63,83;P3;0,004395;AP;RESIDENCIAL;201064,5;6031,93;ZAR2;01/09/2021
RUA PARACATU 1300 - ANDAR 1 GARAGE 43 2 NIVEL - SANTO AGOSTINHO - 30180-098 - BELO HORIZONTE - MG;SANTO AGOSTINHO;1998;2475;8,17;8,17;P4;0,00046;VR;RESIDENCIAL;50000;1500;ZCBH;01/09/2021
RUA PENAFIEL 216 - APT 201 - ANCHIETA - 30310-420 - BELO HORIZONTE - MG;ANCHIETA;2001;300;102,34;102,34;P3;0,1667;AP;RESIDENCIAL;455000;13650;ZA;01/09/2021
RUA PIRAPETINGA 37 - APT 502 - SERRA - 30220-150 - BELO HORIZONTE - MG;SERRA;2021;780;127,02;127,02;P4;0,048085;AP;RESIDENCIAL;770000;23100;ZA;01/09/2021
RUA POUSO ALEGRE 111 - BLOCO 3 APT 103 - COLEGIO BATISTA - 31110-010 - BELO HORIZONTE - MG;COLEGIO BATISTA;2001;1600;55,86;55,86;P3;0,018241;AP;RESIDENCIAL;225806,67;6774,2;ZAP;01/09/2021
RUA PROFESSOR PIMENTA DA VEIGA 805 - APT 702 - CIDADE NOVA - 31170-190 - BELO HORIZONTE - MG;CIDADE NOVA;2008;1080;328,21;328,21;P5;0,063385;AP;RESIDENCIAL;1566152,48;46984,57;ZA;01/09/2021
RUA QUATRO MIL DUZENTOS E VINTE E DOIS 20 - APT 1203 BLOCO 2 - MANTIQUEIRA - 00000-000 - BELO HORIZONTE - MG;MANTIQUEIRA;2019;11740,1;54,67;54,67;P3;0,00422;AP;RESIDENCIAL;208000;6240;ZAR2;01/09/2021
RUA QUATRO MIL DUZENTOS E VINTE E DOIS 20 - APT 202 BLOCO 2 - MANTIQUEIRA - 00000-000 - BELO HORIZONTE - MG;MANTIQUEIRA;2019;11740,1;52,97;52,97;P3;0,004089;AP;RESIDENCIAL;208000;6240;ZAR2;01/09/2021
RUA ROSEMBERG SILVA 29 - GOIANIA - 31970-000 - BELO HORIZONTE - MG;GOIANIA;0;242,26;0;0;TE;1;LV;TERRITORIAL;179878,05;48567,06;ZE;01/09/2021
RUA SANTO ANTONIO 800 - APT 101 BLOCO 7 - SAO JOAO BATISTA - 31515-100 - BELO HORIZONTE - MG;SAO JOAO BATISTA;2011;13467,79;49,94;49,94;P3;0,003268;AP;RESIDENCIAL;169999,96;5099,99;ZAP;01/09/2021
RUA SEBASTIAO FABIANO DIAS 210 - SALA 701 - BELVEDERE - 30320-690 - BELO HORIZONTE - MG;BELVEDERE;1999;2394,26;36,98;36,98;P4;0,00363;SL;NAO RESIDENCIAL;223343,56;6700,3;ZP3;01/09/2021
RUA SILVA JARDIM 205 - APT 401 - FLORESTA - 30150-010 - BELO HORIZONTE - MG;FLORESTA;1995;485;182,46;182,46;P3;0,16966;AP;RESIDENCIAL;690154,95;20704,64;ZA;01/09/2021
RUA TENENTE BRITO MELO 476 - APT 1103 - BARRO PRETO - 30180-072 - BELO HORIZONTE - MG;BARRO PRETO;2008;1200;123,27;123,27;P4;0,013436;AP;RESIDENCIAL;625000;18750;ZCBH;01/09/2021
RUA TENENTE BRITO MELO 496 - GARAGE 43 49 2 PAVMTO - BARRO PRETO - 30180-072 - BELO HORIZONTE - MG;BARRO PRETO;2008;1200;18,19;18,19;P4;0,001983;VR;RESIDENCIAL;62997,57;1889,92;ZCBH;01/09/2021
RUA TEOFILO FILHO 133 - APT 101 - ESTORIL - 30494-005 - BELO HORIZONTE - MG;ESTORIL;1996;475;140,77;140,77;P3;0,16568;AP;RESIDENCIAL;401701,27;12051,03;ZAR2;01/09/2021
RUA TRIFANA 300 - APT 301 - SERRA - 30210-570 - BELO HORIZONTE - MG;SERRA;2000;909,76;326,98;326,98;P4;0,08722;AP;RESIDENCIAL;1443126,23;43293,78;ZA;01/09/2021
RUA URANDI 508 - APT 1 - CONCORDIA - 31110-660 - BELO HORIZONTE - MG;CONCORDIA;1985;350;161;161;P3;0,34;AP;RESIDENCIAL;354892,3;10646,76;ZAR2;01/09/2021
RUA VILA RICA 837 - APT 302 BLOCO II - PADRE EUSTAQUIO - 30730-592 - BELO HORIZONTE - MG;PADRE EUSTAQUIO;1997;1646,5;89,34;89,34;P3;0,02113;AP;RESIDENCIAL;305000;9150;ZA;01/09/2021
AVE MIGUEL PERRELA 115 - APT 701 - CASTELO - 31330-290 - BELO HORIZONTE - MG;CASTELO;2013;840;179,02;179,02;P4;0,058736;AP;RESIDENCIAL;800000;24000;ZAR2;01/09/2021
RUA DOUTOR LUIS RATTON 30 - APT 401 BLOCO 3 - MANACAS - 30840-600 - BELO HORIZONTE - MG;MANACAS;2000;1530,9;93,36;93,36;P3;0,02925;AP;RESIDENCIAL;340000;10200;ZAP;01/09/2021
RUA SOLIDARIEDADE 75 - BLOCO B APT 204 - FLAVIO DE OLIVEIRA - 30626-600 - BELO HORIZONTE - MG;FLAVIO DE OLIVEIRA;1982;21088,3;57,69;57,69;P2;0,004476;AP;RESIDENCIAL;135000;4050;ZAP;01/09/2021
RUA PEDRA BONITA 715 - APT 201 - PRADO - 30411-216 - BELO HORIZONTE - MG;PRADO;2001;350;107,22;107,22;P3;0,138535;AP;RESIDENCIAL;445000;13350;ZA;01/09/2021
RUA KIMBERLITA 442 - BLOCO B APT 116 - SANTA TEREZA - 31010-260 - BELO HORIZONTE - MG;SANTA TEREZA;1990;2480;92,07;92,07;P3;0,01555;AP;RESIDENCIAL;237098,66;7112,95;ZA;01/09/2021
RUA CORREGO DA MATA 400 - APT 404 - HORTO - 31030-030 - BELO HORIZONTE - MG;HORTO;1994;1172,5;94,03;94,03;P3;0,015898;AP;RESIDENCIAL;258507,28;7755,21;ZAP;01/09/2021
RUA JOAO MAURO 124 - APT 202 - RIO BRANCO - 31530-610 - BELO HORIZONTE - MG;RIO BRANCO;2019;360;113,18;113,18;P3;0,118176;AP;RESIDENCIAL;393866,4;11815,99;ZAP;01/09/2021
RUA JOAO DE ALMEIDA 630 - ESTORIL - 30494-115 - BELO HORIZONTE - MG;ESTORIL;2003;818;427,49;427,49;P3;1;CA;RESIDENCIAL;1535056,79;46051,7;ZAR1;01/09/2021
AVE MAGENTA 250 - APT 103 BLOCO 10 - VITORIA - 31970-745 - BELO HORIZONTE - MG;VITORIA;2010;14843,99;78;78;P3;0,006188;AP;RESIDENCIAL;170388,24;5111,64;ZAR2;01/09/2021
RUA ERNANI AGRICOLA 601 - APT 201 BLOCO 1 - BURITIS - 30492-040 - BELO HORIZONTE - MG;BURITIS;2009;3906;90,23;90,23;P3;0,013455;AP;RESIDENCIAL;340000;10200;ZAR2;01/09/2021
RUA ISTRIA FERRAZ 255 - BURITIS - 30575-823 - BELO HORIZONTE - MG;BURITIS;2013;451,51;532,07;532,07;P4;1;CA;RESIDENCIAL;3236000;97080;ZAR2;01/09/2021
RUA JURUPARI 92 - SANTA LUCIA - 30350-590 - BELO HORIZONTE - MG;SANTA LUCIA;2015;355,2;276,12;228;P3;1;CA;RESIDENCIAL;1300000;39000;ZAR1;01/09/2021
RUA JURUPARI 92 - SANTA LUCIA - 30350-590 - BELO HORIZONTE - MG;SANTA LUCIA;2021;355,2;276,12;276,12;P4;1;CA;RESIDENCIAL;1300000;39000;ZAR1;01/09/2021
RUA JOAQUIM GONCALVES PIMENTA 545 - BLOCO 18 APT 102 - CAMARGOS - 30520-450 - BELO HORIZONTE - MG;CAMARGOS;1994;9360;49,32;49,32;P2;0,003462;AP;RESIDENCIAL;190000;5700;ZAR2;01/09/2021
RUA ITAGUAI 206 - APT 201 - CAICARAS - 30775-110 - BELO HORIZONTE - MG;CAICARAS;2013;398,75;124,81;124,81;P3;0,138335;AP;RESIDENCIAL;410624,9;12318,74;ZAR2;01/09/2021
RUA LUDGERO DOLABELA 179 - GUTIERREZ - 30441-051 - BELO HORIZONTE - MG;GUTIERREZ;1982;416;350;700;P2;1;GP;NAO RESIDENCIAL;1612000;193440;ZA;01/09/2021
RUA OSCAR TROMPOWSKY 572 - GUTIERREZ - 30441-055 - BELO HORIZONTE - MG;GUTIERREZ;1962;390;454,97;454,97;P4;1;LJ;NAO RESIDENCIAL;1649501,95;49485,05;ZA;01/09/2021
RUA RADIALISTA JUSCELINO SOUZA 58 - CEU AZUL - 31578-660 - BELO HORIZONTE - MG;CEU AZUL;2007;232,04;64,68;64,68;P2;1;CA;RESIDENCIAL;197999,08;5939,97;ZAR2;01/09/2021
RUA HERVAL 515 - APT 402 - SERRA - 30240-010 - BELO HORIZONTE - MG;SERRA;2013;2249;119,61;119,61;P3;0,01438;AP;RESIDENCIAL;593633,83;17809,01;ZA;01/09/2021
